date,media,article_id,category,subcategory,page_views
20260701,Digmedia,309407,志望動機,業界,2
20260701,Digmedia,309418,テスト,test,13
20260701,Digmedia,309427,ES,gakuchika,3
20260701,Digmedia,309435,面接,gd,11
20260701,Digmedia,309445,面接,gd,3
20260701,Digmedia,309458,面接,gd,1
20260701,Digmedia,309466,自己PR,文字pr,5
20260701,Digmedia,309468,ES,es,1
20260701,Digmedia,309515,3年生,Information,3
20260701,Digmedia,309520,志望動機,業界,1
20260701,Digmedia,309527,志望動機,業界,1
20260701,Digmedia,309530,志望動機,業界,0
20260701,Digmedia,309535,志望動機,業界,1
20260701,Digmedia,309539,面接,面接2,1
20260701,Digmedia,309557,志望動機,業界,1
20260701,Digmedia,309564,志望動機,業界,1
20260701,Digmedia,309575,テスト,test,15
20260701,Digmedia,309584,テスト,test,2
20260701,Digmedia,309607,テスト,test,2
20260701,Digmedia,309645,3年生,Internship,1
20260701,Digmedia,309653,ALL,all,1
20260701,Digmedia,309655,志望動機,業界,3
20260701,Digmedia,309664,志望動機,就活以外,2
20260701,Digmedia,309666,志望動機,業界,1
20260701,Digmedia,309668,志望動機,業界,5
20260701,Digmedia,309673,ALL,all,1
20260701,Digmedia,309674,面接,gd,3
20260701,Digmedia,309679,3年生,Internship,1
20260701,Digmedia,309695,志望動機,業界,1
20260701,Digmedia,309703,3年生,Internship,0
20260701,Digmedia,309723,3年生,Internship,4
20260701,Digmedia,309726,自己PR,prtansyo,7
20260701,Digmedia,309749,面接,面接1,1
20260701,Digmedia,309772,面接,面接2,2
20260701,Digmedia,309784,ALL,all,1
20260701,Digmedia,309790,3年生,Internship,1
20260701,Digmedia,309801,ES,gakuchika,3
20260701,Digmedia,309802,ES,gakuchika,1
20260701,Digmedia,309806,ES,gakuchika,1
20260701,Digmedia,309811,ES,gakuchika,4
20260701,Digmedia,309813,ES,gakuchika,1
20260701,Digmedia,309814,ES,gakuchika,2
20260701,Digmedia,309822,ES,gakuchika,1
20260701,Digmedia,309823,ES,gakuchika,1
20260701,Digmedia,309826,ES,gakuchika,1
20260701,Digmedia,309828,自己PR,pr,1
20260701,Digmedia,309834,ES,gakuchika,1
20260701,Digmedia,309837,面接,軸（業界）,5
20260701,Digmedia,309842,志望動機,志望動機,1
20260701,Digmedia,309853,ES,gakuchika,2
20260701,Digmedia,309868,ES,gakuchika,2
20260701,Digmedia,309875,ES,gakuchika,1
20260701,Digmedia,309876,ES,gakuchika,4
20260701,Digmedia,309878,ES,gakuchika,2
20260701,Digmedia,309879,ES,gakuchika,5
20260701,Digmedia,309880,ES,gakuchika,5
20260701,Digmedia,309882,ES,gakuchika,11
20260701,Digmedia,309883,ES,gakuchika,2
20260701,Digmedia,309884,ES,gakuchika,0
20260701,Digmedia,309894,ES,es,6
20260701,Digmedia,309896,ES,es,1
20260701,Digmedia,309901,ES,es,1
20260701,Digmedia,309910,ES,gakuchika,0
20260701,Digmedia,309912,面接,軸（その他）,5
20260701,Digmedia,309915,面接,軸（業界）,8
20260701,Digmedia,309916,面接,軸（その他）,3
20260701,Digmedia,309920,面接,軸（その他）,9
20260701,Digmedia,309921,面接,軸（その他）,2
20260701,Digmedia,309931,ES,es,2
20260701,Digmedia,309932,ES,gakuchika,1
20260701,Digmedia,309936,テスト,test,18
20260701,Digmedia,309941,ALL,all,1
20260701,Digmedia,309949,ALL,all,1
20260701,Digmedia,309953,面接,面接2,1
20260701,Digmedia,309959,ALL,all,1
20260701,Digmedia,309966,ALL,all,1
20260701,Digmedia,309982,ES,gakuchika,5
20260701,Digmedia,309983,ES,gakuchika,5
20260701,Digmedia,309988,ES,es,5
20260701,Digmedia,310000,ES,es,1
